mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm
cbuckle.mat,341,1e-06,34100,5837,85,12397,9.974607449306513e-07,True,8.238659458,36880.74334479067
cbuckle.mat,341,1e-06,34100,5837,170,21262,9.98894559158611e-07,True,14.091485666,36880.74334479067
cbuckle.mat,341,1e-06,34100,5837,255,15599,9.98388886029703e-07,True,10.36707775,36880.74334479067
cbuckle.mat,341,1e-06,34100,5837,340,4015,9.965626686129008e-07,True,2.662828833,36880.74334479067
cbuckle.mat,341,1e-06,34100,11341,1,341,9.726250996352028e-07,True,0.231782459,528.5716971470773
cbuckle.mat,341,1e-06,34100,11341,85,371,9.928375726724558e-07,True,0.249443,528.5716971470773
cbuckle.mat,341,1e-06,34100,11341,170,437,9.92734945041695e-07,True,0.291651666,528.5716971470773
cbuckle.mat,341,1e-06,34100,11341,255,412,9.768518542288458e-07,True,0.283409459,528.5716971470773
cbuckle.mat,341,1e-06,34100,11341,340,340,7.686198418104396e-07,True,0.229509667,528.5716971470773
cbuckle.mat,341,1e-06,34100,2845,1,343,9.76155599166993e-07,True,0.231802625,485.23772225252566
cbuckle.mat,341,1e-06,34100,2845,85,363,9.948947409358316e-07,True,0.244697958,485.23772225252566
cbuckle.mat,341,1e-06,34100,2845,170,432,9.832178654029288e-07,True,0.291305542,485.23772225252566
cbuckle.mat,341,1e-06,34100,2845,255,410,9.91842824063118e-07,True,0.274422458,485.23772225252566
cbuckle.mat,341,1e-06,34100,2845,340,340,7.255802369911291e-07,True,0.229188833,485.23772225252566
cbuckle.mat,341,1e-06,34100,12409,1,343,9.803995644758433e-07,True,0.231458875,528.571697147083
cbuckle.mat,341,1e-06,34100,12409,85,370,9.674810421439315e-07,True,0.248803208,528.571697147083
cbuckle.mat,341,1e-06,34100,12409,170,439,9.438756612843498e-07,True,0.29481475,528.571697147083
cbuckle.mat,341,1e-06,34100,12409,255,413,9.94466994398632e-07,True,0.278438917,528.571697147083
