mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm
bcsstk18.mat,432,1e-06,43200,700,1,533,9.925050155444496e-07,True,0.19261675,5237669.566429954
bcsstk18.mat,432,1e-06,43200,700,107,5664,9.831816269191627e-07,True,1.999119792,5237669.566429954
bcsstk18.mat,432,1e-06,43200,700,215,898,9.933520238948005e-07,True,0.329661375,5237669.566429954
bcsstk18.mat,432,1e-06,43200,700,323,957,9.94236121486323e-07,True,0.341690125,5237669.566429954
bcsstk18.mat,432,1e-06,43200,700,430,438,9.8264697040146e-07,True,0.159165208,5237669.566429954
bcsstk18.mat,432,1e-06,43200,4788,1,6331,9.990048602344347e-07,True,2.212679541,7641261038.689561
bcsstk18.mat,432,1e-06,43200,4788,107,43199,0.00013879788027227875,False,15.112299,7641261038.689561
bcsstk18.mat,432,1e-06,43200,4788,215,43199,2.068735010386692e-05,False,15.2173995,7641261038.689561
bcsstk18.mat,432,1e-06,43200,4788,323,43199,6.13482355986514e-05,False,15.107709375,7641261038.689561
bcsstk18.mat,432,1e-06,43200,4788,430,43199,5.04064850699054e-06,False,15.220511,7641261038.689561
bcsstk18.mat,432,1e-06,43200,2065,1,1111,9.518158759313542e-07,True,0.404565458,225402439.13170135
bcsstk18.mat,432,1e-06,43200,2065,107,43199,1.6237695426325226e-05,False,15.206072583,225402439.13170135
bcsstk18.mat,432,1e-06,43200,2065,215,11847,9.918278172862107e-07,True,4.131982833,225402439.13170135
bcsstk18.mat,432,1e-06,43200,2065,323,18247,9.967026445922365e-07,True,6.387040167,225402439.13170135
bcsstk18.mat,432,1e-06,43200,2065,430,491,9.97899785856288e-07,True,0.17781475,225402439.13170135
bcsstk18.mat,432,1e-06,43200,10034,1,794,9.652029737526828e-07,True,0.284438042,95878938.06658001
bcsstk18.mat,432,1e-06,43200,10034,107,43199,2.524123834740997e-06,False,15.131678167,95878938.06658001
bcsstk18.mat,432,1e-06,43200,10034,215,4935,9.994255753614775e-07,True,1.736627458,95878938.06658001
bcsstk18.mat,432,1e-06,43200,10034,323,5584,9.991438539733466e-07,True,1.980285625,95878938.06658001
bcsstk18.mat,432,1e-06,43200,10034,430,467,9.984994868820233e-07,True,0.169575167,95878938.06658001
bcsstk18.mat,432,1e-06,43200,4404,1,546,9.3212439665242e-07,True,0.19731525,13292303.298699059
bcsstk18.mat,432,1e-06,43200,4404,107,9648,9.96844555164616e-07,True,3.368245042,13292303.298699059
bcsstk18.mat,432,1e-06,43200,4404,215,1195,9.994787876959724e-07,True,0.424377917,13292303.298699059
bcsstk18.mat,432,1e-06,43200,4404,323,1270,9.762678588889687e-07,True,0.451538542,13292303.298699059
bcsstk18.mat,432,1e-06,43200,4404,430,442,9.867630782637677e-07,True,0.160450584,13292303.298699059
bcsstk18.mat,432,1e-06,43200,110,1,495,9.907144942921499e-07,True,0.185766334,3877415.3700336134
bcsstk18.mat,432,1e-06,43200,110,107,3858,9.963156286647932e-07,True,1.355977708,3877415.3700336134
bcsstk18.mat,432,1e-06,43200,110,215,767,9.88356886498853e-07,True,0.274770625,3877415.3700336134
bcsstk18.mat,432,1e-06,43200,110,323,829,9.864237228632933e-07,True,0.297866542,3877415.3700336134
bcsstk18.mat,432,1e-06,43200,110,430,436,9.86374232070153e-07,True,0.15764975,3877415.3700336134
bcsstk18.mat,432,1e-06,43200,1902,1,461,9.465312096937578e-07,True,0.166415333,3158556.8986360375
bcsstk18.mat,432,1e-06,43200,1902,107,868,9.70081163369117e-07,True,0.318930583,3158556.8986360375
bcsstk18.mat,432,1e-06,43200,1902,215,503,9.63702507063926e-07,True,0.181754208,3158556.8986360375
bcsstk18.mat,432,1e-06,43200,1902,323,519,9.713166158663903e-07,True,0.188911958,3158556.8986360375
bcsstk18.mat,432,1e-06,43200,1902,430,431,9.37962361753284e-07,True,0.158099333,3158556.8986360375
bcsstk18.mat,432,1e-06,43200,5117,1,707,8.898227365213087e-07,True,0.253653459,63175222.922596216
bcsstk18.mat,432,1e-06,43200,5117,107,43199,7.349089639748705e-06,False,15.142185834,63175222.922596216
bcsstk18.mat,432,1e-06,43200,5117,215,3746,9.90577709127881e-07,True,1.321054958,63175222.922596216
bcsstk18.mat,432,1e-06,43200,5117,323,4307,9.992391038376838e-07,True,1.523569417,63175222.922596216
bcsstk18.mat,432,1e-06,43200,5117,430,460,9.958321894805276e-07,True,0.16682875,63175222.922596216
bcsstk18.mat,432,1e-06,43200,8129,1,8284,9.941937869016973e-07,True,2.946724708,10506224106.836374
bcsstk18.mat,432,1e-06,43200,8129,107,43199,0.00013328655537683015,False,15.030975,10506224106.836374
bcsstk18.mat,432,1e-06,43200,8129,215,43199,2.4131337863619338e-05,False,15.19517025,10506224106.836374
bcsstk18.mat,432,1e-06,43200,8129,323,43199,8.89972157144941e-06,False,15.354858583,10506224106.836374
bcsstk18.mat,432,1e-06,43200,8129,430,43199,5.56009058807746e-06,False,15.562089834,10506224106.836374
bcsstk18.mat,432,1e-06,43200,3785,1,3880,9.66415714064076e-07,True,1.350212542,3398637020.54182
bcsstk18.mat,432,1e-06,43200,3785,107,43199,0.00014519800574902905,False,15.310232792,3398637020.54182
bcsstk18.mat,432,1e-06,43200,3785,215,43199,2.998078150367432e-05,False,15.311951708,3398637020.54182
bcsstk18.mat,432,1e-06,43200,3785,323,43199,2.2041944236083007e-05,False,15.323715875,3398637020.54182
bcsstk18.mat,432,1e-06,43200,3785,430,43199,2.4169205979804175e-06,False,15.314127917,3398637020.54182
bcsstk18.mat,432,1e-06,43200,3611,1,465,9.917569396862495e-07,True,0.168730417,201232.67103204338
bcsstk18.mat,432,1e-06,43200,3611,107,937,9.471213314852962e-07,True,0.338780708,201232.67103204338
bcsstk18.mat,432,1e-06,43200,3611,215,505,9.426718903031737e-07,True,0.189770292,201232.67103204338
bcsstk18.mat,432,1e-06,43200,3611,323,522,9.579878873622415e-07,True,0.188406208,201232.67103204338
bcsstk18.mat,432,1e-06,43200,3611,430,431,9.551976933808893e-07,True,0.157190125,201232.67103204338
bcsstk18.mat,432,1e-06,43200,4735,1,531,9.80686095495018e-07,True,0.193692166,2317987.731392976
bcsstk18.mat,432,1e-06,43200,4735,107,2962,9.949264696049433e-07,True,1.049930125,2317987.731392976
bcsstk18.mat,432,1e-06,43200,4735,215,674,9.753846588095264e-07,True,0.244899292,2317987.731392976
bcsstk18.mat,432,1e-06,43200,4735,323,736,9.980795243941988e-07,True,0.264009459,2317987.731392976
bcsstk18.mat,432,1e-06,43200,4735,430,435,9.721616953033801e-07,True,0.164889042,2317987.731392976
bcsstk18.mat,432,1e-06,43200,4575,1,1799,9.868272208640165e-07,True,0.644918667,736030772.8062065
bcsstk18.mat,432,1e-06,43200,4575,107,43199,1.0829385119145678e-05,False,15.312489,736030772.8062065
bcsstk18.mat,432,1e-06,43200,4575,215,36064,9.961012897278717e-07,True,12.850668667,736030772.8062065
bcsstk18.mat,432,1e-06,43200,4575,323,33846,9.997246195104093e-07,True,11.984092,736030772.8062065
bcsstk18.mat,432,1e-06,43200,4575,430,43199,2.4391698928116125e-06,False,15.220360958,736030772.8062065
bcsstk18.mat,432,1e-06,43200,3372,1,588,9.944750373521505e-07,True,0.211499625,28005950.70338064
bcsstk18.mat,432,1e-06,43200,3372,107,30032,9.98782767255059e-07,True,10.607766875,28005950.70338064
bcsstk18.mat,432,1e-06,43200,3372,215,1894,9.945825077506352e-07,True,0.668397334,28005950.70338064
bcsstk18.mat,432,1e-06,43200,3372,323,2073,9.971426065095641e-07,True,0.743295167,28005950.70338064
bcsstk18.mat,432,1e-06,43200,3372,430,450,9.94628279284134e-07,True,0.163803209,28005950.70338064
bcsstk18.mat,432,1e-06,43200,8291,1,459,9.605392894887732e-07,True,0.174364,1.0
bcsstk18.mat,432,1e-06,43200,8291,107,435,9.919954268604422e-07,True,0.159783167,1.0
bcsstk18.mat,432,1e-06,43200,8291,215,444,9.810123306703794e-07,True,0.166855875,1.0
bcsstk18.mat,432,1e-06,43200,8291,323,443,9.98791717295172e-07,True,0.160251375,1.0
bcsstk18.mat,432,1e-06,43200,8291,430,432,9.94023373557086e-07,True,0.156290125,1.0
bcsstk18.mat,432,1e-06,43200,6953,1,9345,9.960790660629087e-07,True,3.424253125,13846782683.448675
bcsstk18.mat,432,1e-06,43200,6953,107,43199,0.00016291348400659646,False,15.168733292,13846782683.448675
bcsstk18.mat,432,1e-06,43200,6953,215,43199,9.797307970959283e-06,False,15.347723,13846782683.448675
bcsstk18.mat,432,1e-06,43200,6953,323,43199,1.1492588989818463e-05,False,15.343671792,13846782683.448675
bcsstk18.mat,432,1e-06,43200,6953,430,43199,4.728622693738467e-06,False,15.263623084,13846782683.448675
bcsstk18.mat,432,1e-06,43200,2893,1,3057,9.914071808091347e-07,True,1.085615625,1770732873.1720378
bcsstk18.mat,432,1e-06,43200,2893,107,43199,0.00013485921799814195,False,15.131293625,1770732873.1720378
bcsstk18.mat,432,1e-06,43200,2893,215,43199,1.7229363695211887e-05,False,15.261772,1770732873.1720378
bcsstk18.mat,432,1e-06,43200,2893,323,43199,3.51103873768689e-06,False,15.326967041,1770732873.1720378
bcsstk18.mat,432,1e-06,43200,2893,430,43199,4.147000284229532e-06,False,15.324456125,1770732873.1720378
bcsstk18.mat,432,1e-06,43200,5137,1,605,9.492543096944116e-07,True,0.222444792,89492328.87511629
bcsstk18.mat,432,1e-06,43200,5137,107,18591,9.851902876937553e-07,True,6.726662208,89492328.87511629
bcsstk18.mat,432,1e-06,43200,5137,215,1781,9.969164834147263e-07,True,0.643211625,89492328.87511629
bcsstk18.mat,432,1e-06,43200,5137,323,1970,9.794874205806233e-07,True,0.715818084,89492328.87511629
bcsstk18.mat,432,1e-06,43200,5137,430,452,9.941668033410639e-07,True,0.163002208,89492328.87511629
bcsstk18.mat,432,1e-06,43200,763,1,459,9.776814058206815e-07,True,0.166672042,1.0
bcsstk18.mat,432,1e-06,43200,763,107,446,9.534920526432277e-07,True,0.173247625,1.0
bcsstk18.mat,432,1e-06,43200,763,215,444,9.524727308141178e-07,True,0.171530416,1.0
bcsstk18.mat,432,1e-06,43200,763,323,443,9.990583603951043e-07,True,0.16192275,1.0
bcsstk18.mat,432,1e-06,43200,763,430,432,9.940233735570865e-07,True,0.158544708,1.0
bcsstk18.mat,432,1e-06,43200,1835,1,759,9.58005993955236e-07,True,0.276977375,82226530.36243528
bcsstk18.mat,432,1e-06,43200,1835,107,43199,4.2899138457098295e-05,False,15.386352666,82226530.36243528
bcsstk18.mat,432,1e-06,43200,1835,215,4705,9.957995305614431e-07,True,1.692454375,82226530.36243528
bcsstk18.mat,432,1e-06,43200,1835,323,5205,9.88504037397661e-07,True,1.849991542,82226530.36243528
bcsstk18.mat,432,1e-06,43200,1835,430,464,9.999995805855548e-07,True,0.168164208,82226530.36243528
bcsstk18.mat,432,1e-06,43200,4393,1,544,9.740720347751407e-07,True,0.197501541,13819204.969971644
bcsstk18.mat,432,1e-06,43200,4393,107,14484,9.906122254277032e-07,True,5.177948709,13819204.969971644
bcsstk18.mat,432,1e-06,43200,4393,215,1208,9.859451292560958e-07,True,0.436838,13819204.969971644
bcsstk18.mat,432,1e-06,43200,4393,323,1277,9.785226381602038e-07,True,0.453525166,13819204.969971644
