mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm,n_rows,slowdown
vanbody.mat,571,1e-06,57100,39351,314,57099,5.33993071931034e-06,False,120.307878083,35205.831056951945,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,3348,516,577,9.438224134876988e-07,True,1.187669334,225.24956980935005,47072,1.010507880910683
vanbody.mat,571,1e-06,57100,32369,396,24336,9.164169149599646e-07,True,50.960395375,60883.8367391625,47072,42.6199649737303
vanbody.mat,571,1e-06,57100,43646,526,57099,3.992373101220166e-06,False,118.553180458,10181668.695174541,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,42484,68,57099,9.015279340107875e-05,False,119.339670583,2117335.750535739,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,9704,94,57099,1.0846371690428784e-05,False,119.34531675,94865.88048632252,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,786,250,57099,1.0849677416670583e-05,False,119.139937416,200352.04557733514,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,31548,402,30335,9.602023259069906e-07,True,63.193049292,46684.87303099193,47072,53.126094570928196
vanbody.mat,571,1e-06,57100,29144,114,22170,9.966941598299132e-07,True,46.189775333,18144.31961051428,47072,38.82661996497373
vanbody.mat,571,1e-06,57100,35419,175,57099,1.6828653741051655e-05,False,119.139146417,440434.0527454332,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,32223,509,57099,4.425323310896726e-06,False,118.766386334,3930782.2938640756,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,46431,121,584,8.799084614667846e-07,True,1.200761333,83.10817749389413,47072,1.02276707530648
vanbody.mat,571,1e-06,57100,34386,125,57099,0.00011783304987080168,False,118.526717584,13081662.213117162,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,17861,49,57099,6.401480492644512e-05,False,118.684313,1507615.0363004722,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,25801,237,57099,2.1242410323756344e-05,False,119.055962416,9256598.087636756,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,30386,247,57099,1.8408668046890343e-05,False,118.98798425,4590791.949663018,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,22260,542,45976,9.96717522965718e-07,True,95.802645375,30713.69937774555,47072,80.5183887915937
vanbody.mat,571,1e-06,57100,5120,452,57099,4.28426761854345e-06,False,118.550122083,9816965.471289836,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,38022,175,57099,4.368381930446672e-05,False,118.276809375,5817364.318956187,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,4859,512,57099,4.472839441911781e-06,False,118.90357375,7382967.436758815,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,44343,348,57099,3.420900899795081e-06,False,118.729257375,156386.2876044793,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,12077,270,57099,1.061022637428326e-05,False,119.043456375,2314906.524206255,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,38068,20,11728,9.633816101969495e-07,True,24.420589083,205275.4329077413,47072,20.53940455341506
vanbody.mat,571,1e-06,57100,43939,483,57099,4.357731119477279e-06,False,118.470641375,11065150.332146283,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,42912,281,39612,9.594229048020684e-07,True,82.660336041,206207.33851300928,47072,69.37302977232925
vanbody.mat,571,1e-06,57100,33555,396,44171,9.807789581460983e-07,True,92.019012459,78048.55595052594,47072,77.35726795096322
vanbody.mat,571,1e-06,57100,41106,22,57099,2.4081746334108994e-05,False,119.058792209,1878118.4103119262,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,44061,36,789,9.401409579828235e-07,True,1.643037833,2742.5204583472196,47072,1.381786339754816
vanbody.mat,571,1e-06,57100,46302,99,57099,0.00015081410432240663,False,119.218996292,7253036.496780612,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,33241,271,57099,1.3726624188536685e-05,False,118.278230833,3359196.3158246507,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,3463,122,57099,1.7073650698219423e-06,False,119.304241458,170030.95720890758,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,33512,54,57099,0.00029502647446410504,False,119.022922667,3501026.390896219,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,18445,481,57099,2.103640062731878e-06,False,118.062652792,68995.32727970785,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,34707,160,57099,6.906947711470418e-05,False,119.1550645,12263860.162597956,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,4872,376,57099,9.940758126624788e-06,False,119.273421833,4660666.148391889,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,13594,267,21086,9.25797220463289e-07,True,43.823783333,40006.14178852602,47072,36.928196147110334
vanbody.mat,571,1e-06,57100,16884,248,57099,1.419559826893389e-05,False,118.633612875,10390556.50651086,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,43199,523,44886,9.112309482072459e-07,True,94.142095917,39614.35560677423,47072,78.60945709281961
vanbody.mat,571,1e-06,57100,20110,391,57099,4.5805551698068244e-06,False,119.342606416,59060.83085736946,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,2969,187,57099,2.5751145170541615e-05,False,118.760542041,19685785.908460222,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,973,434,57099,1.8430128871637718e-05,False,118.42116975,1588551.179173262,47072,99.99824868651488
vanbody.mat,571,1e-06,57100,12799,379,57099,4.676233134243503e-06,False,118.824143083,8671164.199114803,47072,99.99824868651488
