mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm,n_rows,slowdown
vanbody.mat,491,1e-06,49100,35528,74,49099,1.9150596516389227e-05,False,246.083342847,151108.4945402045,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,37556,139,49099,4.618659583401778e-06,False,246.444211542,365067.6048921415,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,38358,193,49099,3.148358692710808e-05,False,246.087799412,879209.861580465,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,46845,122,49099,6.78677906878212e-05,False,246.80020669,5503796.69099555,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,11088,312,32222,9.504907219272003e-07,True,162.786341243,78604.27576058207,47072,65.62525458248473
vanbody.mat,491,1e-06,49100,11595,437,49099,5.068474403851628e-06,False,246.723508334,3793061.776360696,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,34837,287,49099,2.9954969966993477e-06,False,244.315571586,258645.72235262432,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,3091,403,49099,7.094252232138684e-06,False,243.771828284,117368.85449386676,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,34394,461,49099,5.048548277952352e-06,False,243.284921515,8712383.354929548,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,3504,97,49099,8.290960578769898e-05,False,244.293616241,2901564.8796564736,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,35212,458,49099,2.0717624616337732e-05,False,244.067021157,346574.86936763633,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,26504,222,49099,1.7965795570066234e-05,False,244.074933812,5308825.889720639,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,35799,250,49099,2.5281029353508506e-05,False,242.923712926,1552878.6514714495,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,42910,35,49099,0.00030486316169336464,False,243.255595413,11866830.543300198,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,32173,160,49099,0.00010221290181385012,False,243.164449852,6276558.485778758,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,32372,168,49099,4.099214915373487e-05,False,242.986205541,1804601.2685296445,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,5403,367,49099,2.29881866806426e-05,False,243.590903172,4230533.979112414,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,29161,346,29847,9.542860540594585e-07,True,148.851094658,54376.751440446336,47072,60.788187372708755
vanbody.mat,491,1e-06,49100,41323,22,6935,9.668058307162381e-07,True,34.58644246,36688.97305334428,47072,14.124236252545824
vanbody.mat,491,1e-06,49100,3635,295,49099,1.148542892892347e-05,False,257.798860777,6379979.316529676,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,46982,438,23033,9.8261985062024e-07,True,125.069902186,37096.41141606843,47072,46.91038696537678
vanbody.mat,491,1e-06,49100,20903,39,9900,9.638350300775569e-07,True,53.667071975,65075.02172203861,47072,20.162932790224033
vanbody.mat,491,1e-06,49100,26474,392,49099,1.0441503679438778e-05,False,267.832260963,5039463.02158883,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,39798,157,24764,9.83128498055585e-07,True,134.98063889,105191.13293429292,47072,50.435845213849284
vanbody.mat,491,1e-06,49100,14077,376,49099,9.175624629292005e-06,False,268.786313076,10105360.73453655,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,28715,487,49099,4.8409419466682345e-06,False,268.170994829,11424407.594163705,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,1625,376,49099,6.317908253906866e-06,False,268.879943767,163850.03765163315,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,34701,150,49099,2.3180210318849232e-05,False,267.421116083,2607642.5810249196,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,21652,0,919,8.30151850256271e-07,True,5.056513786,192611.54231246782,47072,1.8716904276985744
vanbody.mat,491,1e-06,49100,2074,404,49099,2.299635593938108e-05,False,268.695583466,328678.82636395196,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,13995,339,21897,9.949195370893103e-07,True,119.839574327,70575.47658863998,47072,44.59674134419552
vanbody.mat,491,1e-06,49100,8100,201,9594,9.846018855610005e-07,True,52.023026599,22281.545389010684,47072,19.539714867617107
vanbody.mat,491,1e-06,49100,1849,461,49099,9.092877094329188e-06,False,269.74487004,106389980.67082767,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,45672,46,49099,5.7370817597262016e-05,False,268.866629096,2432957.2825457705,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,16586,139,24451,9.61112305638545e-07,True,134.583466203,234220.71785156443,47072,49.79837067209776
vanbody.mat,491,1e-06,49100,43890,431,49099,1.4401105263414201e-05,False,269.884261891,252221.94765246243,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,27674,211,49099,2.381032035712494e-06,False,268.347851464,71484.78095593615,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,27404,166,49099,5.400246277494209e-05,False,268.847666783,8353971.896813606,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,3526,54,49099,2.822560891783116e-06,False,268.730239472,98753.02883434926,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,3465,399,49099,1.1778193144171028e-05,False,267.586379551,6185704.927131966,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,33137,349,49099,1.1588071925655054e-05,False,267.801705365,1044583.8722886445,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,18327,105,49099,0.0001184975961477003,False,266.603069854,1979309.9943518674,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,14936,161,49099,6.209918194027817e-05,False,245.171262196,1432497.1191471727,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,38439,173,36209,9.809973377198086e-07,True,180.064538042,85260.92172941563,47072,73.74541751527495
vanbody.mat,491,1e-06,49100,10431,413,49099,1.3868702282997603e-05,False,243.55167332,413198.17693239683,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,4753,435,49099,6.457401247521435e-06,False,243.43642439,12624807.202950781,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,8320,189,49099,2.691034161151573e-05,False,242.896369882,3547240.5483893333,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,35369,108,49099,7.738387418319399e-05,False,242.733439288,3548192.8889618483,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,46842,35,49099,5.009985444178852e-05,False,242.375576746,1133558.767015681,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,25966,232,49099,1.2701889425160555e-05,False,243.281805849,10051650.640533092,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,478,404,49099,6.567441724552631e-06,False,242.756364732,20629781.15036245,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,18659,264,49099,1.3543420530471444e-05,False,242.145711609,2835294.3684112905,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,37918,408,49099,5.692410112340119e-06,False,241.656580115,4326344.122057894,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,44289,36,49099,0.0007479361234645431,False,242.627073854,24124740.952196933,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,18781,474,49099,6.101782492117594e-06,False,243.335835315,5743843.279996104,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,14361,330,49099,1.595184938866384e-05,False,241.822989775,131236.7043931637,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,4035,453,48557,9.994977777646787e-07,True,240.431976649,187177.06230990723,47072,98.89409368635438
vanbody.mat,491,1e-06,49100,15114,259,41286,9.963909386909424e-07,True,204.402741307,24901.53497567108,47072,84.08553971486762
vanbody.mat,491,1e-06,49100,46329,22,49099,2.690744363653934e-06,False,242.649439538,4953267.874843011,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,41864,490,609,9.999341172732602e-07,True,3.00585841,201002.51144548488,47072,1.240325865580448
vanbody.mat,491,1e-06,49100,12465,133,49099,3.631669177770022e-05,False,242.239248983,295256.86155927525,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,40690,227,49099,3.085320113020557e-05,False,242.192579418,3639493.8455783147,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,18858,355,21245,9.676052008929822e-07,True,104.870107176,130548.47282245416,47072,43.26883910386965
vanbody.mat,491,1e-06,49100,45182,98,49099,1.571677931530387e-05,False,242.548161013,133540.5575062908,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,24059,179,49099,3.945887196330516e-05,False,243.112016352,3826785.165967412,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,19274,66,49099,7.058129924411113e-06,False,241.969550335,67546.34151456636,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,1188,289,49099,1.2340694595474064e-05,False,242.631967723,13513783.209204616,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,38806,269,36909,9.715307192502253e-07,True,182.396117957,34147.30678785569,47072,75.17107942973523
vanbody.mat,491,1e-06,49100,14884,242,49099,1.3227143761991946e-05,False,242.489299734,126291.62008552403,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,4460,407,49099,5.190471128742316e-06,False,242.556397636,10724608.854544207,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,14202,9,49099,0.0007042003874926536,False,242.35236434,14270007.395796284,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,10127,30,34766,9.95846631344967e-07,True,171.707597556,317242.05359390413,47072,70.80651731160896
vanbody.mat,491,1e-06,49100,4611,423,49099,8.380480159991673e-06,False,242.204141508,70941.53057584664,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,17960,298,49099,9.481444474867091e-06,False,243.87107674,5197180.9370409325,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,43662,371,49099,7.198602592706195e-06,False,242.427782789,4266808.168271182,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,19228,380,49099,5.105173241829489e-06,False,242.149879162,110412.59556407809,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,4247,206,581,9.675073930237572e-07,True,2.875713583,411.1958295755455,47072,1.1832993890020367
vanbody.mat,491,1e-06,49100,31480,104,49099,0.00013802363498765052,False,242.907741371,1199130.6517524866,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,27945,238,49099,2.8403787575753406e-06,False,243.242922756,118416.35146809409,47072,99.9979633401222
vanbody.mat,491,1e-06,49100,8024,397,49099,4.134040451706723e-06,False,242.781145177,247990.6027982535,47072,99.9979633401222
