mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm,n_protections,n_rows,slowdown
bcsstk18.mat,432,1e-06,43200,10452,334,462,9.658352539098127e-07,True,0.170652709,10769253.929080348,430128,11948,1.0694444444444444
bcsstk18.mat,432,1e-06,43200,3481,336,858,9.666876689829321e-07,True,0.313512042,11501644.18046866,0,11948,1.9861111111111112
bcsstk18.mat,432,1e-06,43200,3481,336,858,9.666876689829321e-07,True,0.313318334,11501644.18046866,430128,11948,1.9861111111111112
bcsstk18.mat,432,1e-06,43200,9510,213,2258,9.973179511360256e-07,True,0.815095209,44140886.33397166,0,11948,5.226851851851852
bcsstk18.mat,432,1e-06,43200,9510,213,2258,9.973179511360256e-07,True,0.822695167,44140886.33397166,430128,11948,5.226851851851852
bcsstk18.mat,432,1e-06,43200,8340,142,455,9.512921063953741e-07,True,0.168021834,3648499.4168599797,0,11948,1.0532407407407407
bcsstk18.mat,432,1e-06,43200,8340,142,455,9.512921063953741e-07,True,0.169629667,3648499.4168599797,430128,11948,1.0532407407407407
bcsstk18.mat,432,1e-06,43200,9055,367,20751,9.99437596941318e-07,True,7.428627625,64077335.526441805,0,11948,48.03472222222222
bcsstk18.mat,432,1e-06,43200,9055,367,432,9.939854875470424e-07,True,0.159335583,64077335.526441805,430128,11948,1.0
bcsstk18.mat,432,1e-06,43200,2688,202,4720,9.900194742143683e-07,True,1.704083459,161241922.9915354,0,11948,10.925925925925926
bcsstk18.mat,432,1e-06,43200,2688,202,4720,9.900194742143683e-07,True,1.691218667,161241922.9915354,430128,11948,10.925925925925926
bcsstk18.mat,432,1e-06,43200,11231,354,440,9.703044378657523e-07,True,0.16284975,1.0,0,11948,1.0185185185185186
bcsstk18.mat,432,1e-06,43200,11231,354,440,9.703044378657523e-07,True,0.162145375,1.0,430128,11948,1.0185185185185186
bcsstk18.mat,432,1e-06,43200,9629,378,1188,9.97807791797272e-07,True,0.437760875,83042740.5915062,0,11948,2.75
bcsstk18.mat,432,1e-06,43200,9629,378,1188,9.97807791797272e-07,True,0.428209875,83042740.5915062,430128,11948,2.75
bcsstk18.mat,432,1e-06,43200,158,430,439,9.953742234548377e-07,True,0.162864917,6947573.113844232,0,11948,1.0162037037037037
bcsstk18.mat,432,1e-06,43200,158,430,439,9.953742234548377e-07,True,0.162798709,6947573.113844232,430128,11948,1.0162037037037037
bcsstk18.mat,432,1e-06,43200,408,197,448,9.735558039466743e-07,True,0.168461375,68367.04679631714,0,11948,1.037037037037037
bcsstk18.mat,432,1e-06,43200,408,197,448,9.735558039466743e-07,True,0.167915667,68367.04679631714,430128,11948,1.037037037037037
bcsstk18.mat,432,1e-06,43200,8635,221,448,9.68124972427394e-07,True,0.166064417,2068256.1170604473,0,11948,1.037037037037037
bcsstk18.mat,432,1e-06,43200,8635,221,448,9.68124972427394e-07,True,0.174133167,2068256.1170604473,430128,11948,1.037037037037037
bcsstk18.mat,432,1e-06,43200,1323,196,602,9.728609532022092e-07,True,0.222287667,45794140.51028249,0,11948,1.3935185185185186
bcsstk18.mat,432,1e-06,43200,1323,196,602,9.728609532022092e-07,True,0.223122125,45794140.51028249,430128,11948,1.3935185185185186
bcsstk18.mat,432,1e-06,43200,3651,337,705,9.747517368711238e-07,True,0.258088292,28458858.723510917,0,11948,1.6319444444444444
bcsstk18.mat,432,1e-06,43200,3651,337,705,9.747517368711238e-07,True,0.25794575,28458858.723510917,430128,11948,1.6319444444444444
bcsstk18.mat,432,1e-06,43200,9863,318,22080,9.957689716421199e-07,True,7.874361125,1108086179.9045117,0,11948,51.111111111111114
bcsstk18.mat,432,1e-06,43200,9863,318,432,9.939854875470424e-07,True,0.160528042,1108086179.9045117,430128,11948,1.0
bcsstk18.mat,432,1e-06,43200,232,277,442,9.925472874839342e-07,True,0.163026875,1786.13742130258,0,11948,1.0231481481481481
bcsstk18.mat,432,1e-06,43200,232,277,442,9.925472874839342e-07,True,0.16404275,1786.13742130258,430128,11948,1.0231481481481481
bcsstk18.mat,432,1e-06,43200,1118,160,43199,1.65219844073931e-06,False,15.322273125,3736894394.676519,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,1118,160,43199,1.65219844073931e-06,False,15.332357875,3736894394.676519,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,2090,399,834,9.891537541083257e-07,True,0.302435875,3556186.2964206035,0,11948,1.9305555555555556
bcsstk18.mat,432,1e-06,43200,2090,399,834,9.891537541083257e-07,True,0.301877959,3556186.2964206035,430128,11948,1.9305555555555556
bcsstk18.mat,432,1e-06,43200,985,160,2863,9.972408356648022e-07,True,1.023526542,82602274.00030187,0,11948,6.627314814814815
bcsstk18.mat,432,1e-06,43200,985,160,2863,9.972408356648022e-07,True,1.01933875,82602274.00030187,430128,11948,6.627314814814815
bcsstk18.mat,432,1e-06,43200,2086,392,1909,9.987111936027475e-07,True,0.690405708,5107038.942145605,0,11948,4.418981481481482
bcsstk18.mat,432,1e-06,43200,2086,392,1909,9.987111936027475e-07,True,0.702636167,5107038.942145605,430128,11948,4.418981481481482
bcsstk18.mat,432,1e-06,43200,11512,386,7387,9.993280998769272e-07,True,2.569889542,46471877.65296025,0,11948,17.099537037037038
bcsstk18.mat,432,1e-06,43200,11512,386,7387,9.993280998769272e-07,True,2.595728708,46471877.65296025,430128,11948,17.099537037037038
bcsstk18.mat,432,1e-06,43200,9718,191,1147,9.959779961546825e-07,True,0.414871292,14200043.780316247,0,11948,2.6550925925925926
bcsstk18.mat,432,1e-06,43200,9718,191,1147,9.959779961546825e-07,True,0.4122355,14200043.780316247,430128,11948,2.6550925925925926
bcsstk18.mat,432,1e-06,43200,1111,235,1305,9.74940859606965e-07,True,0.474233666,108668416.27288997,0,11948,3.0208333333333335
bcsstk18.mat,432,1e-06,43200,1111,235,1305,9.74940859606965e-07,True,0.472469709,108668416.27288997,430128,11948,3.0208333333333335
bcsstk18.mat,432,1e-06,43200,10632,408,43199,6.469718693961432e-06,False,15.334819,6232478157.13791,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,10632,408,43199,6.469718693961432e-06,False,15.282953792,6232478157.13791,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,2032,65,4831,9.926356322370882e-07,True,1.721221416,9269858.928541806,0,11948,11.18287037037037
bcsstk18.mat,432,1e-06,43200,2032,65,4831,9.926356322370882e-07,True,1.73460825,9269858.928541806,430128,11948,11.18287037037037
bcsstk18.mat,432,1e-06,43200,7167,193,665,9.085031831983274e-07,True,0.251203458,6497758.920347345,0,11948,1.5393518518518519
bcsstk18.mat,432,1e-06,43200,7167,193,665,9.085031831983274e-07,True,0.243079083,6497758.920347345,430128,11948,1.5393518518518519
bcsstk18.mat,432,1e-06,43200,143,84,25410,9.908582550614224e-07,True,9.030200209,1832053.458121489,0,11948,58.81944444444444
bcsstk18.mat,432,1e-06,43200,143,84,25410,9.908582550614224e-07,True,9.039670416,1832053.458121489,430128,11948,58.81944444444444
bcsstk18.mat,432,1e-06,43200,5051,300,21738,9.899611068353524e-07,True,7.749341667,1989972542.603892,0,11948,50.31944444444444
bcsstk18.mat,432,1e-06,43200,5051,300,21738,9.899611068353524e-07,True,7.770238459,1989972542.603892,430128,11948,50.31944444444444
bcsstk18.mat,432,1e-06,43200,712,59,522,9.712092192893894e-07,True,0.193196,28983.38591972421,0,11948,1.2083333333333333
bcsstk18.mat,432,1e-06,43200,712,59,522,9.712092192893894e-07,True,0.191556375,28983.38591972421,430128,11948,1.2083333333333333
bcsstk18.mat,432,1e-06,43200,3271,431,431,8.691844967022011e-07,True,0.160207291,3116.3778567577397,0,11948,0.9976851851851852
bcsstk18.mat,432,1e-06,43200,3271,431,431,8.691844967022011e-07,True,0.166085417,3116.3778567577397,430128,11948,0.9976851851851852
bcsstk18.mat,432,1e-06,43200,8694,426,455,9.889428810524229e-07,True,0.167933084,12907000.334345223,0,11948,1.0532407407407407
bcsstk18.mat,432,1e-06,43200,8694,426,455,9.889428810524229e-07,True,0.168036416,12907000.334345223,430128,11948,1.0532407407407407
bcsstk18.mat,432,1e-06,43200,8448,252,43199,3.3214006451451e-05,False,15.372239917,58980642.71105321,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,8448,252,43199,3.3214006451451e-05,False,15.399367,58980642.71105321,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,9446,202,3495,9.934841339185132e-07,True,1.245702709,97233534.9084632,0,11948,8.090277777777779
bcsstk18.mat,432,1e-06,43200,9446,202,3495,9.934841339185132e-07,True,1.247453417,97233534.9084632,430128,11948,8.090277777777779
bcsstk18.mat,432,1e-06,43200,8902,387,440,9.996992730842873e-07,True,0.16333775,1.0,0,11948,1.0185185185185186
bcsstk18.mat,432,1e-06,43200,8902,387,440,9.996992730842873e-07,True,0.160390542,1.0,430128,11948,1.0185185185185186
bcsstk18.mat,432,1e-06,43200,1593,387,43199,6.362899863343635e-06,False,15.4166765,1721347185.423828,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,1593,387,43199,6.362899863343635e-06,False,15.304902166,1721347185.423828,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,11212,269,10071,9.987718510849874e-07,True,3.60738725,227285888.82708558,0,11948,23.3125
bcsstk18.mat,432,1e-06,43200,11212,269,10071,9.987718510849874e-07,True,3.617425833,227285888.82708558,430128,11948,23.3125
bcsstk18.mat,432,1e-06,43200,1481,378,1721,9.970943337174117e-07,True,0.641422667,29647587.91882501,0,11948,3.9837962962962963
bcsstk18.mat,432,1e-06,43200,1481,378,1721,9.970943337174117e-07,True,0.660239,29647587.91882501,430128,11948,3.9837962962962963
bcsstk18.mat,432,1e-06,43200,2522,417,550,9.998132450681182e-07,True,0.201033875,135485.2382840764,0,11948,1.2731481481481481
bcsstk18.mat,432,1e-06,43200,2522,417,550,9.998132450681182e-07,True,0.201573042,135485.2382840764,430128,11948,1.2731481481481481
bcsstk18.mat,432,1e-06,43200,1030,38,448,9.97307757665705e-07,True,0.165696333,3733.5035689697315,0,11948,1.037037037037037
bcsstk18.mat,432,1e-06,43200,1030,38,448,9.97307757665705e-07,True,0.1651365,3733.5035689697315,430128,11948,1.037037037037037
bcsstk18.mat,432,1e-06,43200,8337,308,438,9.763495732204137e-07,True,0.162125916,13868.304928583742,0,11948,1.0138888888888888
bcsstk18.mat,432,1e-06,43200,8337,308,438,9.763495732204137e-07,True,0.171316417,13868.304928583742,430128,11948,1.0138888888888888
bcsstk18.mat,432,1e-06,43200,5958,250,38218,9.991395525671883e-07,True,13.570691291,177819972.68480834,0,11948,88.4675925925926
bcsstk18.mat,432,1e-06,43200,5958,250,38218,9.991395525671883e-07,True,13.640316125,177819972.68480834,430128,11948,88.4675925925926
bcsstk18.mat,432,1e-06,43200,1013,242,862,9.775596291990455e-07,True,0.314933167,6770494.220153488,0,11948,1.9953703703703705
bcsstk18.mat,432,1e-06,43200,1013,242,862,9.775596291990455e-07,True,0.312198084,6770494.220153488,430128,11948,1.9953703703703705
bcsstk18.mat,432,1e-06,43200,10301,396,43199,6.940988256587603e-06,False,15.366257167,2897295969.185139,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,10301,396,43199,6.940988256587603e-06,False,16.036277125,2897295969.185139,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,9623,399,43199,3.7528049082434766e-06,False,15.470086958,83503040.33117704,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,9623,399,43199,3.7528049082434766e-06,False,15.42500975,83503040.33117704,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,8581,115,2767,9.920231454116192e-07,True,0.998644542,79980254.35014695,0,11948,6.405092592592593
bcsstk18.mat,432,1e-06,43200,8581,115,2767,9.920231454116192e-07,True,1.024161125,79980254.35014695,430128,11948,6.405092592592593
bcsstk18.mat,432,1e-06,43200,7918,365,692,9.841740623417354e-07,True,0.253772583,9678679.863275053,0,11948,1.6018518518518519
bcsstk18.mat,432,1e-06,43200,7918,365,692,9.841740623417354e-07,True,0.261678125,9678679.863275053,430128,11948,1.6018518518518519
bcsstk18.mat,432,1e-06,43200,10501,323,21798,9.980131316824162e-07,True,7.761149792,446768326.5216892,0,11948,50.458333333333336
bcsstk18.mat,432,1e-06,43200,10501,323,21798,9.980131316824162e-07,True,7.786729791,446768326.5216892,430128,11948,50.458333333333336
bcsstk18.mat,432,1e-06,43200,4735,153,537,9.366672301385418e-07,True,0.198856542,2317987.731392976,0,11948,1.2430555555555556
bcsstk18.mat,432,1e-06,43200,4735,153,537,9.366672301385418e-07,True,0.196672708,2317987.731392976,430128,11948,1.2430555555555556
bcsstk18.mat,432,1e-06,43200,9968,282,2049,9.958593238071237e-07,True,0.740879667,26581432.60946753,0,11948,4.743055555555555
bcsstk18.mat,432,1e-06,43200,9968,282,2049,9.958593238071237e-07,True,0.751423667,26581432.60946753,430128,11948,4.743055555555555
bcsstk18.mat,432,1e-06,43200,8211,243,23207,9.98714951213112e-07,True,8.275429,1517819573.4784076,0,11948,53.719907407407405
bcsstk18.mat,432,1e-06,43200,8211,243,23207,9.98714951213112e-07,True,8.26373325,1517819573.4784076,430128,11948,53.719907407407405
bcsstk18.mat,432,1e-06,43200,6710,220,33761,9.992331524234295e-07,True,12.082488792,1197131229.6923869,0,11948,78.15046296296296
bcsstk18.mat,432,1e-06,43200,6710,220,33761,9.992331524234295e-07,True,12.141801541,1197131229.6923869,430128,11948,78.15046296296296
bcsstk18.mat,432,1e-06,43200,2355,420,433,9.50874219910722e-07,True,0.158944083,43735833.5250416,0,11948,1.0023148148148149
bcsstk18.mat,432,1e-06,43200,2355,420,433,9.50874219910722e-07,True,0.158792167,43735833.5250416,430128,11948,1.0023148148148149
bcsstk18.mat,432,1e-06,43200,8209,233,1146,9.723006615990259e-07,True,0.412535375,83077459.3664601,0,11948,2.6527777777777777
bcsstk18.mat,432,1e-06,43200,8209,233,1146,9.723006615990259e-07,True,0.415704958,83077459.3664601,430128,11948,2.6527777777777777
bcsstk18.mat,432,1e-06,43200,4064,6,580,9.977926370441174e-07,True,0.21296525,7045159.891344443,0,11948,1.3425925925925926
bcsstk18.mat,432,1e-06,43200,4064,6,580,9.977926370441174e-07,True,0.213515375,7045159.891344443,430128,11948,1.3425925925925926
bcsstk18.mat,432,1e-06,43200,3732,377,4563,9.886995030894653e-07,True,1.637778583,7148331.003297919,0,11948,10.5625
bcsstk18.mat,432,1e-06,43200,3732,377,4563,9.886995030894653e-07,True,1.64652375,7148331.003297919,430128,11948,10.5625
bcsstk18.mat,432,1e-06,43200,11040,350,43199,4.840509647977725e-06,False,15.39804675,1517819573.4784076,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,11040,350,43199,4.840509647977725e-06,False,15.45784675,1517819573.4784076,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,9225,163,43199,1.2822121014037008e-05,False,15.505534917,3382679436.8658514,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,9225,163,43199,1.2822121014037008e-05,False,15.4082405,3382679436.8658514,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,2501,251,43199,2.3963177927957006e-05,False,15.315637375,33910411.55233666,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,2501,251,43199,2.3963177927957006e-05,False,15.420310708,33910411.55233666,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,1764,225,748,9.018516173910504e-07,True,0.27981125,4975050.933356781,0,11948,1.7314814814814814
bcsstk18.mat,432,1e-06,43200,1764,225,748,9.018516173910504e-07,True,0.2717175,4975050.933356781,430128,11948,1.7314814814814814
bcsstk18.mat,432,1e-06,43200,9553,44,526,9.804834722848097e-07,True,0.194039625,2554183.217142011,0,11948,1.2175925925925926
bcsstk18.mat,432,1e-06,43200,9553,44,526,9.804834722848097e-07,True,0.1929105,2554183.217142011,430128,11948,1.2175925925925926
bcsstk18.mat,432,1e-06,43200,44,420,432,9.940079332428007e-07,True,0.167197,1.0,0,11948,1.0
bcsstk18.mat,432,1e-06,43200,44,420,432,9.940079332428007e-07,True,0.160570291,1.0,430128,11948,1.0
bcsstk18.mat,432,1e-06,43200,4490,396,4708,9.976234275978854e-07,True,1.694566542,8507110.034562945,0,11948,10.898148148148149
bcsstk18.mat,432,1e-06,43200,4490,396,4708,9.976234275978854e-07,True,1.696747083,8507110.034562945,430128,11948,10.898148148148149
bcsstk18.mat,432,1e-06,43200,6703,144,916,9.95016198456121e-07,True,0.335375917,12790137.883618558,0,11948,2.1203703703703702
bcsstk18.mat,432,1e-06,43200,6703,144,916,9.95016198456121e-07,True,0.333447042,12790137.883618558,430128,11948,2.1203703703703702
bcsstk18.mat,432,1e-06,43200,9921,5,690,9.971504196926493e-07,True,0.253630667,39823691.14813036,0,11948,1.5972222222222223
bcsstk18.mat,432,1e-06,43200,9921,5,432,9.939854875470424e-07,True,0.160711917,39823691.14813036,430128,11948,1.0
bcsstk18.mat,432,1e-06,43200,11854,231,1557,9.97738523502687e-07,True,0.574112459,45806010.16180935,0,11948,3.6041666666666665
bcsstk18.mat,432,1e-06,43200,11854,231,1557,9.97738523502687e-07,True,0.571135209,45806010.16180935,430128,11948,3.6041666666666665
bcsstk18.mat,432,1e-06,43200,2907,173,1776,9.930781367233885e-07,True,0.644488709,51667748.37580308,0,11948,4.111111111111111
bcsstk18.mat,432,1e-06,43200,2907,173,1776,9.930781367233885e-07,True,0.642315167,51667748.37580308,430128,11948,4.111111111111111
bcsstk18.mat,432,1e-06,43200,11907,312,43199,1.7154173038418642e-06,False,15.389407583,1252329039.91082,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,11907,312,43199,1.7154173038418642e-06,False,15.353134625,1252329039.91082,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,564,413,432,9.942755639827132e-07,True,0.159580625,24.83544352316093,0,11948,1.0
bcsstk18.mat,432,1e-06,43200,564,413,432,9.942755639827132e-07,True,0.159555375,24.83544352316093,430128,11948,1.0
bcsstk18.mat,432,1e-06,43200,941,312,736,9.924013072822775e-07,True,0.268660292,4336584.580608077,0,11948,1.7037037037037037
bcsstk18.mat,432,1e-06,43200,941,312,736,9.924013072822775e-07,True,0.268835917,4336584.580608077,430128,11948,1.7037037037037037
bcsstk18.mat,432,1e-06,43200,8786,162,6834,9.986804310129354e-07,True,2.453478792,332677883.6105806,0,11948,15.819444444444445
bcsstk18.mat,432,1e-06,43200,8786,162,6834,9.986804310129354e-07,True,2.453477,332677883.6105806,430128,11948,15.819444444444445
bcsstk18.mat,432,1e-06,43200,7708,25,538,9.325719573643547e-07,True,0.197496417,2555629.28801381,0,11948,1.2453703703703705
bcsstk18.mat,432,1e-06,43200,7708,25,538,9.325719573643547e-07,True,0.198257292,2555629.28801381,430128,11948,1.2453703703703705
bcsstk18.mat,432,1e-06,43200,5000,159,3545,9.94985354642024e-07,True,1.264651917,119153120.65505143,0,11948,8.206018518518519
bcsstk18.mat,432,1e-06,43200,5000,159,3545,9.94985354642024e-07,True,1.274027041,119153120.65505143,430128,11948,8.206018518518519
bcsstk18.mat,432,1e-06,43200,3762,69,43199,2.1705126735801764e-06,False,15.197625583,38935051.74004187,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,3762,69,43199,2.1705126735801764e-06,False,15.365404583,38935051.74004187,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,10740,157,1641,9.978095763564895e-07,True,0.594112291,66111245.49722885,0,11948,3.798611111111111
bcsstk18.mat,432,1e-06,43200,10740,157,1641,9.978095763564895e-07,True,0.59072175,66111245.49722885,430128,11948,3.798611111111111
bcsstk18.mat,432,1e-06,43200,9491,261,43199,3.440073626313032e-05,False,15.382936584,5765015532.134795,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,9491,261,43199,3.440073626313032e-05,False,15.36038225,5765015532.134795,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,361,423,43199,4.0677444289862714e-06,False,15.444666708,945360507.0599781,0,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,361,423,43199,4.0677444289862714e-06,False,15.368785416,945360507.0599781,430128,11948,99.99768518518519
bcsstk18.mat,432,1e-06,43200,10075,296,625,9.975243400238747e-07,True,0.229258166,4345247.276364465,0,11948,1.4467592592592593
bcsstk18.mat,432,1e-06,43200,10075,296,625,9.975243400238747e-07,True,0.232312916,4345247.276364465,430128,11948,1.4467592592592593
bcsstk18.mat,432,1e-06,43200,11035,129,591,9.043012125236546e-07,True,0.216711417,3076259.8007980855,0,11948,1.3680555555555556
bcsstk18.mat,432,1e-06,43200,11035,129,591,9.043012125236546e-07,True,0.219798833,3076259.8007980855,430128,11948,1.3680555555555556
bcsstk18.mat,432,1e-06,43200,10716,13,472,9.639758919751406e-07,True,0.175527042,3994816.061923653,0,11948,1.0925925925925926
bcsstk18.mat,432,1e-06,43200,10716,13,472,9.639758919751406e-07,True,0.17449075,3994816.061923653,430128,11948,1.0925925925925926
