p,prot_overhead,nonprot_overhead,rand_overhead,r2n_overhead
0.01020408163265306,0.005579648526077097,0.005579648526077097,0.05527489762490702,0.09410296499182591
0.02,0.01093611111111111,0.01093611111111111,0.06034231259089342,0.09804051601223407
0.03,0.016404330709973765,0.016404330709973765,0.06586538791331331,0.10206021993427328
0.039999999999999994,0.02187222222222222,0.02187222222222222,0.0710337014797823,0.10607968267890074
0.049999999999999996,0.027340277777777776,0.027340277777777776,0.07590606259089341,0.11009926601223408
0.06,0.032809645719162096,0.032809645719162096,0.08094355034040339,0.11411981408415695
0.06999999999999999,0.038278302804029087,0.038278302804029087,0.08612745230621252,0.11813983960341363
0.07999999999999999,0.04374444444444444,0.04374444444444444,0.09099425703533787,0.12215801601223407
0.09,0.0492129921299213,0.0492129921299213,0.09690278162058372,0.12617796111168506
0.09999999999999999,0.05468055555555555,0.05468055555555555,0.10277759036867119,0.13019718267890074
0.10999999999999999,0.060252079309191804,0.06015462657376849,0.10712760870383804,0.1342211879960991
0.11999999999999998,0.06571674417374752,0.06561929143832419,0.11322067475871346,0.13823827882274647
0.12999999999999998,0.07016501857168696,0.07108756572485121,0.11720347295953039,0.14225802294584475
0.13999999999999999,0.07575158876634275,0.07656196521360341,0.12272103913807908,0.14628226972267933
0.14999999999999997,0.08133094125091905,0.08202903623695702,0.12620326626959463,0.1503011293235652
0.15999999999999998,0.08690318445553907,0.08748888888888888,0.13367314592422674,0.15431468267890072
0.16999999999999998,0.09191387361590697,0.09296252219577619,0.13822802295018163,0.15833836623324732
0.17999999999999997,0.09765326654106511,0.09843484348434843,0.1446942820378381,0.16236108531916477
0.18999999999999997,0.1033425652989233,0.10389617244072878,0.14630103496089783,0.16637572391013766
0.19999999999999998,0.10729858168788137,0.1093611111111111,0.1548637014797823,0.17039301601223408
0.20999999999999996,0.11214134632415944,0.11485098835445401,0.15750232140090065,0.1744286405308926
0.21999999999999997,0.11787384356210999,0.12030925314753697,0.16320418858404828,0.17844102664663083
0.22999999999999998,0.12395494267061014,0.12578917772154488,0.1688173879302079,0.182469334929495
0.23999999999999996,0.12851859517960962,0.1312543340267776,0.1742596941719464,0.18648678701559462
0.24999999999999997,0.13415670727822007,0.1367013888888889,0.17769772925756008,0.19049093267890074
0.25999999999999995,0.1388305381913173,0.14217513144970242,0.18545078618539274,0.1945146965461221
0.26999999999999996,0.14519449931487521,0.14766555645572657,0.18821732391804558,0.19855072372669982
0.27999999999999997,0.1510675151241091,0.15312393042720682,0.19444270129309324,0.20256319009979123
0.29,0.15612721007515531,0.1585862980149523,0.2015329074607052,0.20657859219166175
0.29999999999999993,0.16048120576911737,0.16405807247391405,0.20555703497979896,0.21060090930156303
0.30999999999999994,0.1661319678560549,0.16955211024978467,0.21278189700088482,0.21463959223962426
0.31999999999999995,0.17169129852021767,0.17497777777777776,0.21800870147978232,0.21862801601223408
0.32999999999999996,0.17745455520904047,0.18046387972130545,0.22098441105073938,0.22266086529716256
0.33999999999999997,0.18299064026541484,0.18592504439155239,0.22729683930138492,0.22667538312092725
0.35,0.18559384046129995,0.19139151402014545,0.23248532575544056,0.23069380063479852
0.35999999999999993,0.19050137540062964,0.19690513343736246,0.23553176153659824,0.23474687809361686
0.36999999999999994,0.19474218702116,0.20237067193025743,0.23686756487315344,0.2387646111269639
0.37999999999999995,0.19717901363163834,0.2078318341146163,0.2505678264428297,0.24277912712334518
0.38999999999999996,0.20203068906276245,0.21326269717455365,0.25518593670252454,0.24677137014639944
0.39999999999999997,0.20651270408851705,0.2187222222222222,0.2587998125908934,0.25078468267890075
0.4099999999999999,0.21116337988744585,0.2241925197029748,0.2624388814260262,0.2548059140578812
0.41999999999999993,0.2153390597681973,0.229750233426704,0.26720919634439483,0.2588914053679764
0.42999999999999994,0.22011069590925822,0.2351851851851852,0.2658600276446569,0.2628866540050656
0.43999999999999995,0.22424453640424535,0.24067145931142409,0.2789402957677322,0.26691962986199935
0.44999999999999996,0.22808501754911695,0.24608710871087108,0.284091971806815,0.2709006892795608
0.4599999999999999,0.23103400005162245,0.2516362427775221,0.2924513644649027,0.2749798736591124
0.4699999999999999,0.23631038065015195,0.2570783053857807,0.2953310041491654,0.2789803495022827
0.4799999999999999,0.24098171364324694,0.2625086680535552,0.30003981899191756,0.2829722246856218
0.48999999999999994,0.24403328999405877,0.26804193899782136,0.30773401738392175,0.2870397480383779
0.49999999999999994,0.24942981810072115,0.2734027777777778,0.30879842370200455,0.29098051601223407
0.5099999999999999,0.25358497270405483,0.2789824263038549,0.3123439168992834,0.2950821316584926
0.5199999999999999,0.2578276607803094,0.28435026289940485,0.3209162048021374,0.2990280437466768
0.5299999999999999,0.26217689080128054,0.28992871450453633,0.32540631665593406,0.3031287795329128
0.5399999999999999,0.26744067569287244,0.29541088900894413,0.3281527629480577,0.30715874174607166
0.5499999999999999,0.27143348677211687,0.30077313286884244,0.3438666992795623,0.311100542598226
0.5599999999999999,0.27315511903197537,0.3063336445689387,0.34453762771694385,0.31518809070877934
0.57,0.27863276291044453,0.3117477511719245,0.34889598641580155,0.31916801601223405
0.58,0.2838709043979099,0.3171725960299046,0.3511244581180912,0.32315583503775613
0.5899999999999999,0.2878306832579351,0.3227895841532205,0.3610076179168806,0.32728489912911723
0.5999999999999999,0.2937781159780964,0.32821461918100575,0.35703929505054394,0.3312728579490088
0.6099999999999999,0.2986826398729868,0.3336214493932615,0.36866464887317935,0.3352474343567531
0.6199999999999999,0.3036425561735313,0.3392094017094017,0.37706936042657024,0.3393551541429206
0.6299999999999999,0.30874826217318624,0.344552965063362,0.37953492426211094,0.34328322290154306
0.6399999999999999,0.3132186815290871,0.3500675771802532,0.38491587461963156,0.3473370300967411
0.6499999999999999,0.31775258131795675,0.35553027019216876,0.3897718831009353,0.35135267140885307
0.6599999999999999,0.3221853749941179,0.3609277594426109,0.3888336959792323,0.3553203812487577
0.6699999999999999,0.32640286543801056,0.36649165921954124,0.4046039978753736,0.3594104199443163
0.6799999999999999,0.3307524256347916,0.3719765684051398,0.40713322151001663,0.36344239242946763
0.69,0.335485031090149,0.3773675331646346,0.41422609891862905,0.3674053060973502
0.6999999999999998,0.33972780160655697,0.38291705571117335,0.410994210349997,0.3714847760495823
0.7099999999999999,0.340628823784669,0.3883562184343434,0.4244276850656409,0.3754831201789007
0.7199999999999999,0.3459033454869489,0.39395212936279217,0.4315640136795902,0.37959669036381904
0.7299999999999999,0.34901077656847024,0.3994196899602305,0.4345465214619266,0.38361590985201977
0.7399999999999999,0.352066947382481,0.40474134386051486,0.4362980279046527,0.3875278729083604
0.7499999999999999,0.3577427297723095,0.4102067183462532,0.4367840086399057,0.39154548537957595
0.7599999999999999,0.36264328673217067,0.415821715251373,0.44167704115025125,0.3956730857207258
0.7699999999999999,0.36702989496935284,0.4212677623694573,0.4575070887422374,0.39967649058850524
0.7799999999999999,0.37030490777495534,0.4265253943491073,0.45576770997345534,0.40354139094723146
0.7899999999999999,0.37361024295509165,0.4322573561703996,0.4506915121956365,0.4077549725339732
0.7999999999999999,0.3762807118547505,0.4374444444444444,0.4660887014797823,0.4115680160122341
0.8099999999999998,0.3797368304735251,0.44311633351341617,0.4720239436911996,0.4157374379463238
0.8199999999999998,0.38490948712064965,0.44856895451645246,0.4772056279222215,0.41974567529579987
0.8299999999999998,0.38972230683649994,0.45415743816906606,0.46940042167173507,0.42385378566893395
0.8399999999999999,0.3943275468330633,0.459500466853408,0.4855506996123687,0.4277814613903853
0.8499999999999999,0.3976598629639115,0.4649707105064248,0.49601502423110505,0.43180265320044264
0.8599999999999999,0.40223715088973583,0.47057276725951425,0.4878105794679254,0.43592074119869423
0.8699999999999999,0.40798949373131055,0.4758969151919544,0.507148540953721,0.4398345376252309
0.8799999999999999,0.41286493271274,0.48134291862284817,0.5084065027317385,0.44383791037843123
0.8899999999999999,0.41194546997110676,0.4869150093994261,0.5080857926047453,0.44793397030134063
0.8999999999999999,0.41642662781998074,0.49217421742174217,0.5074330559152259,0.4518000292135542
0.9099999999999999,0.4211826287474619,0.4980014167172637,0.5220069973713023,0.45608362014095294
0.9199999999999998,0.4264879668719787,0.5035041948025374,0.5354842611278282,0.46012872810554284
0.9299999999999998,0.4303400926132221,0.508656330749354,0.536072164012082,0.46391607802773793
0.9399999999999998,0.4347607373500052,0.5143984530155744,0.5462107460078476,0.4681371285867088
0.9499999999999998,0.4378110973354729,0.5197771440642163,0.5393323009728115,0.47209101981451546
0.9599999999999999,0.441903986184856,0.5252695058170562,0.5514540766532267,0.47612847070323633
0.9699999999999999,0.4456085279222102,0.5308791801510248,0.5619604382651113,0.48025215840705604
0.9799999999999999,0.4487069230981798,0.5360838779956427,0.5595177864471025,0.4840781467311883
0.9899999999999999,0.45367993367276277,0.5413916391639164,0.554083971006735,0.48797989720035284
0.9999999999999999,0.45795230813055665,0.5468055555555555,0.5689025903686712,0.4919596826789007
